text,size
antiinmigrante,3
antisemitism,2
antitrumpprotest,1
antocirina,1
antofagasta,1
antonio,1
antwort,1
anunci,2
anunciaron,1
anybody,2
anyhow,1
anymore,5
anyone,20
anything,21
anytime,1
anyway,7
anywhere,2
aoytyffubm,1
ap,6
apart,1
apartheid,4
aplica,2
aplusk,1
apologist,1
apologize,1
apoyo,2
apparently,4
appeal,1
appeals,2
appear,2
appearance,1
appearances,1
appeared,1
appearing,3
appears,3
appeasement,1
apple,16
applications,1
applies,1
apply,4
appointed,2
appointee,2
appointment,1
appointments,2
appreciate,2
apprendre,1
apprenez,1
apprentice,2
approach,1
appropriate,1
approval,3
approve,3
approved,2
approves,1
apr,5
apresenta,1
april,15
aprilfool,1
aprilshowers,2
apropiat,1
apuntando,2
arabia,1
arabians,1
arabiesaoudite,1
arabistan,1
arabs,3
aranceles,5
arap,1
archangel,1
archie,1
arcticoildeal,1
ardde,1
area,1
aren,5
arent,1
argued,1
arguments,1
ari,1
arifleischer,7
aristeguionline,2
arizona,7
arizonakayte,1
ark,1
arkansas,1
arleneru,2
arm,2
armadas,1
armados,1
armaron,1
armed,3
arming,1
arms,4
armsdeal,2
armtbgqlrr,1
army,3
armyoftrump,5
arnettwill,1
arnold,1
arnp,1
aroche,1
around,15
arr,1
arregla,1
arrest,1
arrested,1
arresting,3
arrived,1
arrogant,1
arrrests,1
arsenal,1
art,6
article,11
articles,2
articoli,3
artificial,3
artificialscarcity,1
artillery,1
artist,3
asalto,1
asap,1
ashamed,1
ashleyjudd,1
asi,2
asia,3
asistir,1
ask,8
asked,10
asking,3
asks,4
aspects,1
ass,17
assad,3
assange,1
assassination,1
assault,9
assaulted,1
asscircus,1
assclown,1
assclowncircus,1
assed,1
assembles,1
asses,2
assets,1
asshole,4
assiste,1
assisted,1
asskissing,1
assmiller,1
associate,1
associated,2
associates,1
assolutamente,1
assume,2
assumption,1
assurances,1
asswaffle,1
asswipe,1
astonishing,1
asuntos,1
asylum,2
atacado,1
ataques,2
atenidos,1
atfirstwelaughed,1
atheism,1
atheist,1
atlanta,1
atlanticomag,1
atrocities,2
atrocity,1
ats,1
attached,1
attack,13
attacked,4
attacker,1
attacking,3
attacks,7
atte,1
attempt,4
attempts,1
attend,3
attended,1
attention,2
attentionseeker,1
attitude,2
attitudes,1
attorney,7
attorneys,1
attraper,1
attys,1
atuar,1
au,2
auch,1
auction,1
aucun,1
audacity,1
audi,1
audience,8
audio,2
auf,1
augusta,1
augustanational,1
auiysmmobc,1
aurora,1
auspol,2
aussi,2
austan_goolsbee,5
australia,2
australian,1
author,2
authority,4
auto,1
autobauer,1
autocrat,2
autofollow,1
automatic,1
automatics,1
autonomous,1
autoproclamarse,1
autoricen,1
autumn,1
av,1
avait,1
aval,1
avalanche_the_architect,2
avec,4
avengers,1
avenir,1
average,2
avg,1
avjxwxvvtf,1
avmgxblxnf,1
avoid,2
avoir,2
avons,1
avoue,1
avrebbero,1
avuourdgfw,1
avvertono,2
awake,1
awakealert,1
awanbrothers,1
aware,6
awareness,2
away,14
awe,1
awed,1
awful,2
awwww,1
axe,1
axios,1
ayer,1
ayoshululg,1
ayudar,1
ayude,1
ayudo,1
az,1
b_lievechildren,1
ba,3
babble,1
babies,2
babosos,1
babswirv,1
baby,3
babylonianmoneymagic,1
back,28
backchannel,2
backed,3
backer,1
backing,1
backlash,1
backpage,3
backup,1
backward,1
backwards,1
bad,28
badboyars,1
bag,1
baggage,1
bailed,1
bails,1
bait,1
baiter,1
bajar,1
bakersfield,1
bakker,2
balance,2
balanced,1
ball,1
ballad,3
balls,6
balnisjohn,1
balo,1
baluchistan,1
ban,2
banana,1
bananarepublic,3
banassaultweapons,3
banassaultweaponsnow,2
banding,1
bandit,1
banging,1
bank,5
bankfraud,1
bankimmelsponsors,1
bankrupt,4
bankruptcy,2
bankrupted,1
banks,1
banned,5
bannon,3
banthenra,1
baptize,1
bar,1
barack,7
barackobama,24
barbararedgate,1
barbarian,3
barbarism,1
bardoczedward,1
barely,1
barf,1
bargain,1
bargaining,1
barker,1
barn,1
barr,1
barrage,1
barrientos,1
barriere,1
barriers,1
barry,2
barthubbuch,1
basant,1
basculement,1
base,12
baseball,2
based,5
basement,2
bashar,2
bashing,3
basic,3
basically,3
basket,1
basketofdeplorables,1
basta,1
bastards,1
bathroom,1
bathtub,1
batman,1
battered,2
battle,6
battling,1
bautista,1
bazaar,1
bbc,15
bbcos,1
bbcworld,1
bbcws,1
bbmhbwecrk,1
bc,3
bcgreens,1
bclp,1
bcndp,1
bcpoli,1
bcuz,1
bds,5
beacon,1
beaisws,1
beaker,1
bear,2
beard,4
beast,1
beat,5
beater,1
beats,1
beaumonttxchess,1
beautiful,3
beaware,1
became,7
beckyshairrocks,1
become,6
becoming,3
beer,1
beermantom,1
befriending,1
beg,1
began,6
begging,2
begin,3
beginning,2
begins,10
begun,2
behalf,1
behar,2
behaves,1
behavior,7
behind,12
beholden,1
bei,1
beijing,4
beingthere,1
bel,1
beliefs,1
believable,1
believe,27
believers,1
believes,1
believing,2
beligerants,1
bellicose,1
belongs,1
beltel,1
ben,1
bending,1
beneficio,1
benefiting,2
benefits,3
benefitted,1
benghazi,1
benitojuarez,1
benjaminnetanyahu,3
bensasse,2
benshapiro,2
bensimmons,1
benyamin,2
bepaalde,1
ber,1
berichte,1
berichten,1
berlinwall,1
bernie,1
bernieandsid,4
berniesanders,3
besides,1
besser,1
best,22
bestbuy,1
bestsellers,1
bet,16
betrayalpapers,4
betsy,1
betsydevos,2
better,23
bettybowers,1
beverly,1
bezos,4
bgedlkjsss,1
bgjqqlpaie,1
bgompgxoga,1
bhaiya,1
bhdhuufsea,1
bhul,1
bhuloamericaagain,1
bias,6
bibi,1
bible,2
bid,1
bidding,1
biden,2
bien,2
biff,1
big,15
bigbootys,1
bigboypruitt,1
bigest,1
bigger,4
biggest,6
biggestbadsport,1
bigotbill,1
bigoted,1
bigotry,6
bigthankyou,3
bilateral,1
bilking,1
bill,15
billboards,1
billclinton,3
billion,4
billionaire,2
billionares,1
billions,4
billkristol,1
billmaher,16
bills,3
billy,1
billybaldwin,1
billygraham,1
billymflynn,1
bing,1
bio,3
biosphere,1
biotech,1
birdshit,1
birthcontrol,1
birtherism,1
birthtourism,1
bishopjakes,1
bison,1
bit,8
bitch,5
bitching,1
bitcoin,4
bite,1
bitte,1
bitters,1
bivymaioaa,1
biz,2
bizarre,2
bka,1
bkaysac,1
bkigbqseoy,1
blabbing,1
blablablubberisch,1
black,13
blackamerican,1
blacklivesmatter,5
blackmail,1
blackmailed,1
blacks,1
blacksheepdawg,2
blade,1
blake,1
blakefarenthold,1
blame,4
blanca,2
blanche,1
blanks,1
blast,1
blasts,2
blatant,1
blatherskite,1
bless,5
blew,2
blica,1
blind,4
blinded,1
blindly,1
blindness,1
blingking,1
blip,1
blm,2
bloccare,1
block,5
blocked,6
blocking,1
blog,1
blogger,1
bloggers,1
blonde,1
blood,4
bloombergasia,1
blowback,2
blower,1
blowhole,1
blowing,2
blown,1
blue,3
bluetsunami,7
blueus_org,1
bluewave,13
bluewaveiscoming,5
blurb,1
bmw,1
bnc,7
bnzpsszqzp,1
board,2
boarder,1
boasting,1
boat,1
bob,1
bobdylan,1
bobsmueller,1
bodyguards,1
boeing,2
boggling,1
boggy,1
bogie,1
boingboing,1
bold,3
bollywood,3
bolton,11
bom,1
bomb,1
bombastic,1
bomber,1
bombing,1
bombshell,2
bonds,4
bone,2
bonespurs,1
bonkers,1
bonnieglaser,1
boo,1
boogieman,1
book,11
bookdeal,1
books,8
booksale,1
boom,4
boombap,1
booms,2
booored,1
boost,2
booster,1
bootpruitt,4
border,55
bordercrossings,1
borderprotection,1
borders,5
bordersecurity,4
borderwall,1
boredwall,1
boring,3
boris,1
borisjohnson,1
borough,1
borrar,1
borre,1
borrowed,2
bosomed,1
boss,8
boston,3
bostonglobe,2
bot,4
botched,1
bother,1
bots,2
botschafter,1
bottes,1
bottled,1
bottom,4
bottomline,1
bought,5
boundaries,1
bounty,2
bout,2
bow,1
box,1
boxing,1
boy,4
boycott,2
boycottabc,1
boycottapartheid,1
boycottisrael,4
boycottjimmykimmel,2
boycottjimmykimmell,1
boycottjimmykimmelsponsors,1
boycottkimmel,6
boycottkimmelladvertisers,1
boycottnra,2
boycottroseanne,1
boys,2
bp,1
bradsherman,1
braggadocio,1
bragged,2
bragging,1
brags,2
brahilift,1
brain,4
brained,1
brainwashed,1
brakethechain,1
branch,1
brand,4
branded,1
brandondarby,1
branier,1
brasil,1
brat,1
brave,1
bravo,1
brazil,2
brazos,1
breach,1
breaching,1
bread,1
breadcrumbs,2
break,6
breaking,24
breakingnews,27
breaks,5
breath,1
breitbart,2
breitbartnews,5
brennan,1
breve,1
brevolve,1
brewing,1
brexit,16
brexiteers,1
brhodes,1
brian,1
brianstelter,1
bribed,1
brick,1
briefingsgate,1
brigade,1
bright,1
brilliancy,1
brilliant,4
bring,7
bringing,5
brings,5
brithume,1
british,5
brittpettibone,1
broa,1
broadcast,13
broadcasted,1
broadcasting,1
broadsides,1
broke,2
broken,2
brokered,1
bromance,1
bromancing,1
brother,2
brotherhood,1
brothers,1
brothervet,1
brought,7
brown,2
brownie,1
browns,1
brozoxmiswebs,1
brucelee,1
bruises,1
brush,1
brutal,1
brutalize,1
brutally,1
bs,8
bsnbc,1
bspn,1
btaagnjrbp,1
btw,3
bubble,1
bubblehead,1
buck,1
bucks,1
bud_cann,1
buddies,2
buddy,3
buddyboybudbud,1
budfbgglxr,1
budget,1
buds,1
buenviernes,3
buffoon,2
buhbye,1
build,7
buildawall,1
building,5
builds,1
buildthatwall,1
buildthedamnwall,1
buildthewall,18
buildthewallnow,5
built,2
bull,4
bullies,3
bullseye,1
bullshit,7
bully,2
bullying,2
bum,1
bunch,4
bundeskriminalamtes,1
bunker,1
burda,1
bureau,1
buries,2
burn,2
burning,1
bus,3
busattacks,1
buscar,1
bush,3
bushjr,1
business,26
businesses,4
businessinsider,1
businessman,1
businesswarusa,1
bussiness,1
bust,2
busts,2
busy,3
butch,1
butcher,1
butheremails,4
butt,8
butter,1
buttlicker,1
button,2
buy,8
buying,5
buys,1
bye,4
byefelicia,1
byronallen,1
bzyfzouhey,1
c_pellegrino,1
ca,5
cabal,5
cabe,1
cabildear,1
cabinet,8
cable,1
cabrones,1
cada,1
caen,1
caf,1
cagop,1
cair,1
cairnational,1
cake,1
cakedecorating,1
calcul,1
calculation,1
caldo,1
calendar,1
cali,3
caliber,1
calificada,1
california,8
calina_paige,2
call,18
calle,2
called,24
calling,14
calls,13
calo,1
calories,1
caluvato,1
calves,1
cambi,1
cambia,1
cambridge,1
cambridgeanalytica,7
cambridgeanalytics,2
cambridgeanyaltical,1
came,5
camel,5
camelot,1
camp,2
campagne,1
campaign,18
campaigning,1
campaignreporting,1
campaigns,2
campossuarez,2
camps,1
cams,1
canada,9
canadian,1
cancelled,1
cancer,1
candicebergenmp,1
candidate,5
candidates,4
candidato,1
candidatos,7
candidats,1
candy,3
cannabis,1
cannot,9
cant,4
cantstopwinning,2
canzuk,2
capability,1
capacity,1
capitais,1
capitalization,1
caplan,2
capone,1
caption,1
capturar,1
captured,1
capu,1
capx,1
car,7
caravan,11
caravana,1
caravanofillegalls,1
caravanofillegals,1
caravans,2
carbonatedtv,1
card,2
care,15
cared,4
career,4
careerarc,1
careful,2
cares,4
cargo,1
cari,1
caribe,1
caricatura,1
caricature,1
carl,1
carlbernstein,1
carlinedelman,1
carlreiner,2
carlson,2
carolina,2
carried,2
carrieksada,1
carrier,1
carrot,1
carrots,1
cars,4
cart,1
carter,1
cartoon,2
cas,2
casa,4
casablanca,1
casadelcinema,1
case,10
cases,3
cash,3
cashes,1
casualties,1
cat,1
catastrophe,1
catastrophic,1
catch,46
catchandrelease,6
catchy,1
cathymcmorris,1
cats,1
cattura,5
caught,11
caughtoncamera,1
cause,9
caused,1
causes,1
caveat,1
caved,1
cay,2
cbcinipbzu,1
cbcnews,1
cbi,1
cbs,3
cbsnews,2
cbts,8
cc,1
ccot,15
cctv,1
cdnpoli,1
ce,4
ceasar,1
cease,1
ceasefire,1
ceiling,1
celac,3
celebra,1
celebrate,1
celebrities,2
celebrity,2
cell,1
cellphone,3
cements,1
cena,1
censorship,6
census,1
cent,2
center,2
central,4
centrist,1
centroamericanos,1
ceo,2
ceonsorship,1
cernovich,1
certainly,1
certifications,1
ces,1
cesar,2
cesspit,1
cesspool,1
cette,1
cgdkyqnfci,1
cgqrzsfttd,1
cgtnofficial,2
ch,3
chair,1
chairos,1
challenge,1
chamber,1
chambredesrepr,1
chameleon,1
champion,1
chance,4
chancellor,1
chances,1
chandler,4
chang,1
change,12
changed,1
changes,2
channels,2
chanting,1
chaos,3
chappaquiddick,3
chappaquiddickmovie,1
character,1
characterless,1
characters,1
charge,4
charged,2
charges,1
charity,1
charles,1
charlesschwab,1
charleston,1
charlie_faulk,1
charliefaulkner,1
charlottesville,1
chart,1
chat,1
chattanooga,1
chatting,1
chaunceygardner,1
che,3
cheap,3
cheat,2
cheated,1
cheating,3
cheatingchina,1
cheats,1
check,6
checked,2
checkers,2
checking,1
checks,1
cheeks,1
cheering,1
cheese,1
cheeseburgers,1
cheesy,1
cheeto,1
cheetos,1
chefrexx,1
chelsea,1
chelseahandler,2
cher,1
cherijacobus,1
cherries,2
cherry,2
chess,3
chesstricks,1
chgroenhuijsen,1
chicago,2
chicanos,1
chickasawwarriorsociety,1
chicken,6
chickenshit,1
chicky,3
chief,22
chiefpentspox,1
chiefscottpruitt,1
child,11
childhood,1
childrapist,1
children,9
childrensbooks,3
childtrafficking,3
chilesemueve,1
chill,1
chilling,1
china,116
chinaorgcn,1
chinapremier,1
chinatariffs,1
chinatoday,1
chinatradewar,1
chine,8
chinese,10
chinesetrumpet,1
chingas,1
chinois,4
chinup,1
chip,1
chlich,1
choice,4
choke,1
choo,2
chosen,1
chris,1
chris_meloni,1
chrisgalea,1
chrislhayes,3
christ,4
christian,11
christiandisgrace,1
christianism,1
christianity,3
christianright,1
christians,8
christincenter,1
christjesus,1
chromosomes,2
chubby,1
chuchoikki,2
chuckgrassley,1
chucks,2
chuckschumer,1
chucktodd,2
chuckuschumer,1
chump,1
chupacabras,1
church,1
churches,1
churn,1
cia,18
ciawoolsey,1
cidh,1
cigarettes,1
cillizzacnn,1
cina,1
cinema,1
circle,3
circlejerkinovaloffice,1
circles,1
circo,1
circus,1
cited,1
cities,2
citizen,2
citizens,3
citizenship,3
city,3
ciudades,2
civil,4
civilian,1
civilians,3
civilized,1
civilrights,1
civilwar,1
ckdesg,2
ckejhqsrtp,2
ckg,1
cking,2
ckxoewvixg,1
claim,8
claimed,1
claiming,4
claims,10
clandestini,3
clandestins,1
clapping,2
clar,1
clarified,1
claro,1
claros,1
class,8
classic,2
classified,1
classy,1
clean,4
cleaning,2
cleanwaters,1
clear,3
clearly,4
clears,1
click,1
client,6
clients,2
cliffs,1
clima,1
climate,2
climateaction,1
climatechange,6
climbing,1
clinging,2
clinic,1
clinton,23
clintonbodycount,2
clintoncash,1
clintons,2
clips,2
clivedownie,1
clock,1
close,8
closer,3
closernation,12
closersangels,1
closest,2
closet,2
clothes,1
clothing,15
cloud,1
clout,1
clown,3
clownnewsnetwork,1
club,3
clubbiness,1
clubs,1
clue,3
clueless,1
cmt,1
cnbc,4
cnbcfuturesnow,1
cncofirmaportodomexico,1
cnn,117
cnnbrk,3
cnnfakenews,1
cnni,4
cnnisisis,1
cnnpolitics,3
cnnstyle,1
cnnsucks,1
cnntonight,2
cnp,1
coach,1
coal,1
coats,1
cocacola,3
cock,3
cockroach,1
cockroaches,1
codqaozbhi,1
coffee,3
coffers,1
cohen,2
coherente,1
cohn,1
cohorts,2
coincidan,1
coincided,1
coincidence,5
coincidinky,1
coined,1
coinvolti,1
cold,3
colder,1
coldwar,2
collaboration,3
collapse,2
collapsing,3
collated,1
colleagues,2
collect,1
collects,2
college,2
collegeforall,1
collinrugg,1
collude,2
colluding,1
collusion,11
colony,3
color,2
coloring,1
colors,2
columbia,1
columbine,1
coma,2
combatir,1
combined,1
combo,1
combover,1
comcast,2
come,21
comebacks,1
comedian,1
comedians,2
comedy,3
comeflywithme,1
comentario,1
comentarios,1
comes,15
cometh,1
comey,7
comfort,1
comicbooks,1
coming,15
commander,2
commandments,1
commands,1
commence,2
comment,1
commentary,2
commerce,1
commercial,2
commerciale,2
commerciali,1
commie,1
commies,1
commission,1
commissioned,1
commit,1
commited,1
committee,1
commodities,1
common,3
commondreams,1
commonsense,3
communicate,1
communist,2
communists,1
communities,1
community,4
como,12
compa,3
companies,9
company,13
compared,5
comparison,1
compelled,1
competent,1
compiling,3
complain,1
complained,1
complaining,1
complains,1
complaint,1
complete,4
completely,2
complex,2
complicit,1
complicitgop,1
complict,1
comply,1
complying,1
comportamiento,1
comprehends,1
compromised,2
compromising,1
compton,1
computeblu,1
comunicazione,1
con,36
conamorseguimoslamarcha,1
conartistinchief,3
concealedcarry,1
concede,2
conception,1
conceptually,1
concern,1
concerned,5
concerning,1
concerns,1
concertante,1
concibo,1
conclusion,1
condados,1
condemn,3
condemning,1
condiciones,1
condo,1
condoned,1
conduct,3
cone,1
confederate,1
confederateflag,1
conference,2
confessed,1
confessing,1
confidant,1
confidante,1
confidants,1
confine,1
confirm,1
confirmation,2
confirmed,1
conflict,1
conflicting,1
confrontation,1
confused,5
confuses,1
confusing,1
congatulations,1
congenitally,1
congr,1
congratulations,1
congreso,5
congress,34
congressman,3
congressmen,2
conjugu,1
conman,1
conmaninchief,1
conmantrump,1
connect,27
connected,2
connecting,1
connection,2
conor,1
cons,1
consecutive,1
consensus,1
consequences,1
consertivitives,1
conservatism,1
conservative,29
conservativeconsumer,1
conservatives,11
consider,1
considering,1
consigue,1
consisted,1
conspiracies,1
conspiracy,15
conspiracytheory,1
conspiration,1
conspired,1
constantly,2
constituents,1
constitutes,1
constitution,3
constitutional,1
constitutionally,1
constraints,1
constructed,1
construido,1
construit,1
consultants,1
consumers,3
cont,2
contact,2
contain,1
container,1
contempla,1
contentmarketing,1
continue,8
continued,2
continues,5
continuing,2
continuously,1
contra,3
contractor,2
contractors,1
contradict,1
contradicted,1
contre,2
contributing,2
contribution,1
contributor,1
control,21
controlled,1
controversial,1
controversies,2
controversy,3
convene,1
convenient,1
conveniently,1
convention,1
conversaci,2
conversation,2
conversations,2
conversion,1
convicted,7
convinced,1
convincing,2
convo,1
convocation,1
cook,1
cool,3
cools,1
cooper,3
coordinate,1
copala,1
cops,1
copy,1
cor,1
core,3
corentinsellin,1
corkerkickback,1
corn,1
corner,1
corners,1
corporate,1
corporategreed,1
corporations,1
correct,3
correctly,4
correlate,1
correre,1
correspondent,1
correspondents,12
correspondentsdinner,1
corresponsales,1
corrupci,1
corrupt,25
corrupted,1
corruptelas,1
corruptgop,2
corruption,17
corybooker,1
cosby,2
cost,8
costarica,1
costincrease,1
costing,4
costly,2
costruito,1
cosy,1
cottonpony,1
couldn,5
council,1
councilwoman,1
counrty,1
counsel,7
count,2
countdown,1
counter,3
countermoves,1
counters,1
countries,11
country,29
counts,1
couple,2
coupled,1
courage,1
course,14
courses,1
court,4
courtrecords,1
couverture,1
cover,8
coverage,5
covering,5
coverup,2
covfefe,2
cow,1
coward,6
cowards,1
cowboy,1
cowboys,1
cox,1
cpagmoynwr,1
cpc,1
cpnaqpxsyl,1
cr,2
crack,1
craigrsawyer,1
crandall,1
crap,6
crapping,3
crash,2
crashing,1
crawledoutinto,1
craziness,1
crazy,10
crazystupidnuts,1
creare,1
create,6
created,3
creates,2
creating,1
creation,1
creationism,2
creature,1
credibility,2
credible,2
credit,8
creek,1
creeping,2
creepy,4
creo,1
cret,1
crew,1
cries,1
crime,5
crimea,2
crimebuster,1
crimes,8
crimesagainsthumanity,2
criminal,11
criminality,1
criminaljusticereform,1
cringing,1
crisi,1
crisis,16
crisisactors,1
cristianismo,1
criticism,1
criticize,5
criticized,3
criticizing,1
critics,1
cronies,7
crony,1
cronyism,1
crook,3
crooked,6
crookedhillary,4
crooks,1
crops,1
cross,1
crossed,1
crossings,2
crossroads,1
crowd,1
crowded,1
crowdercult,2
crowe,1
crown,2
crownprince,2
crucial,1
crucifier,1
cruel,1
cruelty,1
crumble,1
crumbs,1
crusade,1
cruz,1
cruzan,1
cry,4
crybaby,1
cryed,1
crying,2
cryinjimmy,1
crypto,2
cryptochoe,1
cryptocurrency,1
cspanwj,1
cstetson,1
ctica,1
ctico,1
cuando,4
cuatro,3
cuba,1
cubana,1
cuck,1
cuestionmarque,1
culo,1
culper,1
cult,2
cultists,1
cultivating,1
cultural,1
culture,7
cumbre,1
cumbredelasamericas,1
cumulus,1
curious,3
current,6
currently,3
currrently,1
cursing,1
curtain,1
custer,1
customs,1
cut,4
cutajar,1
cutcbc,1
cuts,5
cutting,2
cuz,4
cuzingpmfw,1
cvkgiconbi,1
cxhfytsoqa,1
cyber,1
cyberbullying,1
cyberhacking,2
cycle,2
cycling,1
cyndo_w,1
cynical,2
cynthiamckinney,1
czar,1
da,5
dab,1
daca,14
dacadeal,1
dachau,1
dad,12
daddy,3
dahonestypolicy,1
daily,16
dailycaller,2
dailykos,1
dailymail,1
dailynews,1
dailynewswrap,1
dairyqueen,1
dakota,2
dal,1
daledholc,1
dallas,3
dam,3
damage,2
damaging,2
dammit,1
damn,6
damos,1
dan,2
dana,1
danawhite,2
danger,3
dangerous,7
dangers,1
daniel,2
danieldennett,1
daniels,13
dann,1
danrather,1
dans,3
dar,1
dare,1
dark,7
darkweb,1
darn,1
darth,1
das,2
dashannestokes,1
dass,1
dat,2
data,9
dataanalytics,1
database,12
databreach,1
datascience,1
date,1
dateline,3
dati,1
daughter,6
daughters,1
david,6
david_cameron,4
davidhogg,1
davidletterman,1
davidlimbaugh,1
davis,1
day,31
dayanamazs,1
days,13
dazi,2
dazu,1
db,1
dbongino,1
dc,2
dcgop,1
dcsewer,1
ddr,1
ddsvfihbui,1
dead,5
deadly,1
deadlysirius,1
deafly,1
deal,18
dealer,1
dealing,1
dealings,2
deals,1
dealwithit,1
deanfv,1
deanheller,1
dear,8
dearauntcrabby,5
deardonaldjtrump,48
deardonaldtrump,2
dearly,1
death,10
debacle,1
debate,3
debating,1
debbie,1
debit,1
debortolif,1
debt,4
debunked,1
decade,3
decades,3
deceit,1
deceive,2
decency,1
decent,2
decide,1
decided,1
decides,1
decimated,1
decisi,1
decision,3
decisions,5
deciudadanxaciudadanx,2
declaraciones,7
declare,1
declared,1
declares,1
declaring,1
declasse,1
declassifying,1
decorum,1
decreasing,1
dedicated,2
dedicates,1
deep,9
deeper,1
deeply,3
deepstate,18
deepstatecabal,1
